"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Total livestock output / LU","€/LU","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"[Livestock production + change in livestock value  + animal products]/LU.
Livestock  production = Sales + Household consumption – Purchases.
It is calculated for equines, cattle, sheep, goats, pigs, poultry and other animals.
Change in livestock valuation = value at closing valuation - value at opening valuation. For animals which are present on the holding for more than one year, the value corresponding to the increase in volume is estimated.
Animal products = Sales + Household consumption + Farm use  + (Closing valuation - Opening valuation).
The products are: milk and milk products from cows, ewes, goats, wool, hens' eggs, other animal products (stud fees, manure, other eggs, etc.) and receipts from animals reared under a service contract (animals not owned by farmer) and honey]/[ Number of equidae, cattle, sheep, goats, pigs and poultry present on holding (annual average), converted into livestock units as presented above in the chapter ""Livestock unit calculations"". Animals which do not belong to the holder but are held under a production contract are taken into account according to their annual presence]","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Change in value of livestock","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Net change in value or estimation of the value corresponding to the increase in volume of the animals present on the holding for more than one year. The estimation makes it possible not to include in the value of annual output short-term price changes affecting animals which will be sold only in the medium or long term. The animals for which this particular calculation is made are: equines, cattle other than cattle under one year old, cull cows, goats, ewes, breeding sows as presented above in the chapter ""Variation in livestock valuation"".","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Cows' milk and milk products (incl. buffaloes')","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"The values are recorded after deduction of the amount of the co-responsibility levy (if any) but before deduction of the amount of the super levy (if any). The latter is entered as a negative subsidy specific to the milk sector.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Beef and veal","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Production + change in valuation. Net change in valuation in respect of calves for fattening, other cattle less than one year old and cull dairy cows; change in valuation adjusted in respect of all other categories of cattle.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Pigmeat","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Production + change in valuation. Net change in valuation in respect of piglets, pigs for fattening and other pigs; change in valuation adjusted in respect of breeding sows.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Sheep and goats","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Production + change in valuation. Net change in valuation in respect of other sheep and other goats; change in valuation adjusted in respect of breeding ewes and goats.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Poultrymeat","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Production + change in valuation. Net change in valuation in respect of all categories of poultry.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Eggs","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"[(Sales + Farmhouse consumption + Closing valuation + Farm use) – (opening valuation)] of hens' eggs.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Ewes' and goats' milk","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"(Sheep milk + goat milk + Sheep milk products + Goat milk products) – Opening valuation.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other livestock & products","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Meat of equines and other animals (including change in valuation), wool, other animal products (manure, stud fees, etc.), receipts for animals held under contract, and milk. Net change in valuation in respect of beehives, rabbits and other animals; change in valuation adjusted in respect of equines.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Other output","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Receipts from renting out agricultural land, receipts from occasional letting of fodder areas, agistment, forestry products, contract work for others, hiring out of equipment, interest on liquid assets necessary for running the holding [until 2014 only], receipts of tourism, receipts relating to previous accounting years, other products and receipts, incl. OGA other than processing of milk.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Total OGA output","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Total output coming from other gainful activities (OGA) directly related to the holding such as processing of farm products both, animal's and crop's, receipts from contract work, agritourism, production of renewable energy, forestry and other OGA.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
"Processing of animals and animals' products","€","Existing","Indicator",NA,NA,"x","2004-2022","EU",2022,"x","x","x",NA,"Output coming from processing of meat, cows' milk, buffalo's milk, sheep's milk, goat's milk and other animals' products.","FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.","https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC",NA,"SO5 Strengthening European Competitiveness and Creating Jobs",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).","https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html","https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html"
